id,postcode,title,update date,start date,end_date,country subentity,city,estimate overall contract amount,total amount,tax excslusive amount
794747,28046,"Transporte de la mercancía a exhibir en la feria: COLLECTION PREMIÈRE MOSCOW (CPM I)  2013, del 26 de Febrero al 1 de Marzo de 2013 en MOSCÚ (RUSIA)",2013-01-15,No date available,2012-12-12,ESPAÑA,Madrid,No amount available,26620,22000
789934,28006,"Servicio de conserjería para el centro de Excelencia Contra Artefactos Improvisados COE CIED, del 1 de enero de 2013 al 30 de abril de 2014.",2013-01-15,2013-01-01,2014-04-30,ESPAÑA,Madrid,154666.66,93573.32,77333.33
794749,28046,"Transporte de las mercancías a exhibir en la  feria: PRODEXPO  2013, del 11 al 15 de Febrero de 2013 en MOSCÚ (RUSIA)",2013-01-15,No date available,2012-12-12,ESPAÑA,Madrid,No amount available,48400,40000
789932,28006,Servicio de mantenimiento de las instalaciones del EMAD COE C-IED,2013-01-15,2013-01-01,2012-11-22,ESPAÑA,Madrid,270958.08,163929.64,135479.04
798991,38200,Servicio de mantenimiento de seguridad y monitorización de la Red del IAC,2013-01-15,2012-12-19,No date available,ESPAÑA,la laguna,56875,45500,45500
798992,28020,Suministro gases Laboratorio Central de Aduanas e II. EE.,2013-01-15,No date available,No date available,Not country subentity available,Madrid,No amount available,48400,40000
798993,28004,Mantenimiento cecom C.G.E. 2013,2013-01-15,No date available,No date available,ESPAÑA,Madrid,No amount available,214173.55,177002.93
789599,37008,"“Suministro, entrega e instalación de un Microscopio de Célula Viva y Análisis de Imágen para el Instituto de Neurociencias de Castilla y León"". Cofinanciado con Fondos Feder (Subprograma de Proyectos de Infraestructura Científica-Tecnológica-Proyecto Unsa 10-3E-965: Microscopio de Célula Viva y Análisis de Imágen) y Junta de Castilla y León (Proyecto Centro en Red de Medicina Regenerativa y Terapia Celular de Castilla y León).",2013-01-15,No date available,2012-11-19,ESPAÑA,Salamanca,170290.12,206051.05,170290.12
798994,39600,Programa de mediación del Ayuntamiento de Camargo,2013-01-15,2013-01-14,No date available,ESPAÑA,Muriedas - Camargo,35247.28,9693,8811.08
794312,28014,"Suministro de reactivos lab-scan y productos cromatográficos de las marca Symta, Act-Ace y Biotage",2013-01-15,2013-01-02,No date available,ESPAÑA,Madrid,30000,36300,30000
798995,28200,"Recogida y transporte desde el Punto Limpio municipal al Centro de Tratamiento Autorizado de escombro, madera, plástico, restos vegetales, colchones, papel/cartón y metal.",2013-01-15,2013-03-04,2013-01-29,ESPAÑA,San Lorenzo de El Escorial,80000,44000,40000
798996,28006,"Contratación del Servicio de  mantenimiento de los equipos de navegación, investigación pesquera y equipamiento de geología instalados en los Buques Oceanográficos ""Miguel Oliver""  ""Emma Bardán"".",2013-01-15,2013-05-01,2014-04-30,ESPAÑA,Madrid,322738.33,390513.38,322738.33
798997,41004,Acuerdo Marco para la contratación de servicios de asistencia técnica en materia de inversiones al Servicio de Informática y Comunicaciones,2013-01-15,2014-01-09,2013-02-18,Sevilla,Sevilla,1942737.19,2350712,1942737.19
742905,48901,"El objeto de este contrato lo constituye la redacción de proyecto, construcción y explotación del aparcamiento subterráneo destinado a residentes situado en la calle Landeta del municipio de Barakaldo",2013-01-15,No date available,2012-10-14,ESPAÑA,Barakaldo,7120000,0,0
798998,11001,"Suministro con instalación de mobiliario de butacas para Salón de Grados/Actos del nuevo edificio de ampliación de la Facultad de Ciencias de la Universidad de Cádiz en el Campus de Puerto Real. Subvención Excepcional Programa 42J ""Universidades"". Consejería de Economía, Innovación y Ciencia de la Junta de Andalucía.",2013-01-15,2013-04-18,2013-01-30,Cádiz,Cádiz,No amount available,92458.7,76412.15
794633,28043,"Asistencia de un Centro Sanitario Hospitalario, dentro del término municipal de Almería que disponga de instalaciones y medios suficientes para la prestación de servicios de asistencia sanitaria en régimen hospitalario y ambulatorio (urgencias, ingresos hospitalarios, intervenciones quirúrgicas, pruebas diagnosticas y consultas de especialistas) con destino a los trabajadores al servicio de los empresarios asociados, así como a los trabajadores por cuenta propia adheridos, en ambos casos, a  IBERMUTUAMUR, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social nº 274",2013-01-15,No date available,2012-12-19,Almería,Madrid,872936,436468,436468
798999,47004,Acondicionamiento sanitario y ambiental de cauces públicos en la provincia de Soria. Año 2012,2013-01-15,No date available,No date available,Castilla y León,Valladolid,175224.22,212021.31,175224.22
793893,47004,Acondicionamiento sanitario y ambiental de cauces públicos en la provincia de Zamora Y Orense. Año 2012,2013-01-15,No date available,No date available,Castilla y León,Valladolid,189110.81,228824.08,189110.81
799000,47004,Acondicionamiento sanitario y ambiental de cauces públicos en la provincia de Salamanca. Año 2012,2013-01-15,No date available,No date available,ESPAÑA,Valladolid,192325.91,232714.35,192325.91
789510,21003,Contratación de dos Guardias de Seguridad  para la oficina de Extranjeros de Huelva,2013-01-14,No date available,No date available,ESPAÑA,Huelva,165289.26,100000,82644.64
789499,28046,"Selección de la empresa decoradora a la que se adjudicará  la realización de los trabajos de construcción, montaje, decoración y desmontaje del grupo de ferias de Audiovisuales que se celebrarán durante el año 2013",2013-01-14,No date available,2012-11-23,ESPAÑA,Madrid,No amount available,172149.25,172149.25
799001,28036,Servicios de consultoría para la adaptación de los sistemas de gestión para la segregación de RENFE-Operadora en sociedades independientes.,2013-01-14,No date available,No date available,ESPAÑA,Madrid,No amount available,0,0
794855,11110,C. Abierto. T.A.-Servicios especializados para varias dependencias.,2013-01-14,No date available,2012-12-14,ESPAÑA,San Fernando,No amount available,175406,144963.64
789470,02006,"Suminisro de Gasoleo ""C"" calefacción para el CRMF de Albacete durante el año 2013",2013-01-14,2013-01-01,2012-11-29,ESPAÑA,Albacete,142780,142780,118000
799002,28022,Servicios de custodia y gestión del depósito estatal estratégico de medicamentos y productos sanitarios y las expediciones que se realicen con cargo al mismo.,2013-01-14,No date available,2013-02-22,ESPAÑA,Madrid,184233.36,84440.29,76763.9
799003,28040,Mantenimiento y soporte técnico del Sistema de Almacenamiento NETAPP para el año 2013.,2013-01-14,2013-01-01,No date available,ESPAÑA,Madrid,No amount available,30008,24800
783741,28040,Contratación de los servicios de transporte para el personal del Ciemat y científico visitante a las Instalaciones de la Plataforma Solar de Almería.,2013-01-14,No date available,2012-11-19,ESPAÑA,Madrid,391240,215182,195620
799004,28014,Licitación para la contratación de un servicio de dosimetría y de asistencia técnica en materia de protección radiológica y control de calidad en los centros asistenciales de Fraternidad Muprespa.,2013-01-14,No date available,2013-01-29,ESPAÑA,Madrid,734680,367340,367340
799005,08007,Servicio de mantenimiento de las instalaciones de calefacción y equipos de aire acondicionado instalados en el edificio de la Delegación Especial de la Agencia Estatal de Administración Tributaria en Cataluña,2013-01-14,No date available,No date available,Not country subentity available,Barcelona,No amount available,60500,50000
799006,35008,"Mejora de la explanada, área II, parcela 3 en el Puerto de Las Palmas",2013-01-14,No date available,2013-02-20,ESPAÑA,Las Palmas de Gran Canaria,No amount available,312795.7,292332.43
794728,33211,Suministro de un vehículo 4X4 multitrans para labores de jardinería,2013-01-14,2013-01-26,2012-12-19,ESPAÑA,Gijón,No amount available,24200,20000
799007,28005,"Trabajos de cubierta para la obra construccion nave para la UAT, base primo de Rivera, Alcala de Henares, Madrid.",2013-01-14,No date available,No date available,ESPAÑA,Madrid,No amount available,160000,135593.22
799008,14071,"Suministro e instalación de equipamiento térmico y de pretratamiento de muestras con destino a Campus de Rabanales (Campus de Medio Ambiente, Biodiversidad y Cambio Global). Financiado por el programa INNOCAMPUS (2010) y cofinanciado por FEDER
",2013-01-14,2012-12-21,2012-11-19,ESPAÑA,Córdoba,No amount available,53240,44000
799009,28040,"Servicio de Mantenimiento Integral de la Instalaciones Críticas del CETA-CIEMAT en Trujillo, durante el año 2013.",2013-01-14,2013-01-01,No date available,ESPAÑA,Madrid,No amount available,45738,37800
738528,28071,Servicios para la contratación de una poliza de seguro para los vehiculos integrados en la flota de la Confederación Hidrogafica del Tajo.,2013-01-14,2012-12-31,2012-09-06,ESPAÑA,Madrid,160000,80000,80000
799010,28020,Software Assurance de 16 lic. Microsoft Windows Server Data Center SA OLP NL GOV 2 Procesadores,2013-01-14,No date available,No date available,Not country subentity available,Madrid,No amount available,32982.85,27258.55
799011,28020,mantenimiento de las licencias ATM y Entire Network de SAG,2013-01-14,No date available,No date available,Not country subentity available,Madrid,No amount available,43336.46,35815.26
794812,28046,"Servicio de mantenimiento y reposición del sistema de calefacción de la Base Militar ""El Goloso""",2013-01-14,2013-01-25,2012-12-18,ESPAÑA,Madrid,45573.82,45573.82,37664.31
799012,28005,"Albañileria para la obra Garaje 300, el pardo, Madrid",2013-01-14,2012-09-17,No date available,ESPAÑA,Madrid,No amount available,169000,143220.34
